22
33	31
30	30
28	33
30	15
7	24
44	3
17	17
22	32
62	3
22	37
9	55
57	25
9	5
16	63
22	48
58	33
59	50
39	20
17	25
33	34
15	41
19	21
20
10	67
32	50
15	12
70	50
1	4
23	13
8	68
1	28
55	56
15	43
44	3
45	28
60	41
29	42
47	8
20	24
19	28
59	58
56	13
39	8
20
26	36
29	8
6	4
70	37
37	16
53	35
30	26
16	56
64	55
4	39
19	35
3	5
38	7
33	57
54	39
11	55
42	59
10	16
67	37
21	39
21
13	10
53	10
52	9
15	37
36	53
8	58
46	35
6	5
46	22
4	38
45	14
45	62
4	28
5	27
69	42
12	33
55	67
23	8
52	35
54	50
21	4
17
32	38
30	42
59	66
60	34
37	14
43	32
29	13
20	22
24	65
4	52
53	68
13	25
67	28
20	58
34	24
69	51
46	19
19
14	22
63	60
16	10
5	10
8	60
25	15
55	41
40	46
51	17
31	35
29	33
44	62
41	20
2	68
61	31
41	14
68	58
5	59
38	3
21
31	67
3	21
66	68
34	7
6	64
54	28
10	12
36	1
52	42
26	63
14	19
46	49
32	6
40	11
24	3
8	42
18	22
46	13
33	54
68	16
14	26
18
23	37
14	14
30	37
45	61
6	61
54	27
17	32
70	63
58	54
30	20
70	18
53	56
22	2
28	30
63	58
18	10
22	27
42	42
17
7	15
48	28
67	1
23	62
14	48
43	49
49	41
55	38
60	69
66	29
12	59
54	17
5	26
47	55
43	43
26	10
25	67
16
7	63
40	50
57	35
25	46
60	16
55	36
59	59
68	48
43	65
56	19
41	62
47	2
63	67
13	21
1	1
30	57
19
40	3
8	23
56	17
44	36
3	27
28	64
19	7
62	15
37	63
68	22
44	22
21	66
35	7
50	49
6	64
32	29
25	35
55	64
25	43
19
51	6
41	12
23	11
18	24
45	56
17	59
30	51
14	59
27	25
2	50
22	1
17	69
67	39
56	7
13	69
46	14
38	20
67	57
42	5
18
43	24
67	24
69	36
17	52
57	29
31	28
3	61
7	40
62	8
4	37
30	58
50	21
64	36
14	22
16	68
42	66
20	13
43	21
19
36	44
20	6
57	39
18	57
2	21
21	32
45	14
7	36
19	69
64	8
55	45
60	41
14	16
13	43
39	51
46	12
70	3
27	63
27	56
17
17	19
58	53
63	11
23	68
61	58
30	56
27	17
65	32
27	13
50	66
30	47
31	30
30	35
30	7
17	36
60	61
45	36
20
60	13
18	50
16	22
65	54
10	33
1	8
36	65
20	9
12	50
40	40
32	27
11	23
58	56
51	27
18	41
55	30
58	31
36	7
43	17
11	35
17
57	35
47	9
51	1
18	67
29	47
48	34
65	32
44	50
70	64
54	11
37	48
37	69
3	51
36	13
11	32
9	22
30	51
19
42	52
45	19
16	49
70	31
40	14
4	59
8	60
9	53
22	32
70	23
7	40
34	21
67	52
58	41
55	41
35	27
28	15
24	8
10	23
18
43	7
48	41
56	44
10	51
18	4
67	42
41	69
41	66
48	24
66	38
38	58
8	36
22	39
10	51
20	8
55	34
19	43
53	1
18
47	22
69	9
1	8
44	52
29	5
43	68
62	67
49	69
13	61
37	10
35	64
41	2
6	13
15	65
51	19
21	37
35	12
50	58
19
26	65
11	48
24	55
68	29
33	38
26	53
19	26
55	32
55	21
12	43
70	54
28	44
35	22
45	60
47	26
25	3
5	6
43	35
18	4
20
8	33
45	29
46	30
39	13
38	15
38	35
40	40
64	3
7	68
67	22
11	17
28	54
2	41
34	54
59	32
8	8
46	64
40	55
17	14
2	4
17
57	7
10	33
20	63
69	41
6	47
60	47
6	34
49	30
29	36
12	7
42	64
31	21
31	24
33	40
70	55
48	55
60	43
21
42	4
33	1
37	16
3	11
18	69
28	62
25	29
68	22
26	49
37	29
49	52
3	61
4	35
26	53
18	15
27	25
32	50
53	16
62	10
10	41
44	15
18
14	53
53	52
58	35
4	69
63	13
19	68
20	25
24	66
59	3
49	30
30	4
20	47
51	27
31	35
23	60
6	27
69	34
41	10
17
59	7
64	17
23	29
39	26
5	67
15	58
14	29
43	48
69	66
67	43
4	7
23	25
63	64
39	15
17	69
43	11
64	65
19
47	42
21	28
3	6
34	22
1	34
13	16
29	59
11	8
36	36
63	68
60	4
48	52
60	42
23	56
27	12
39	52
45	2
70	52
25	55
19
32	22
11	60
42	57
30	34
33	48
6	37
20	39
39	39
48	34
25	4
54	2
51	63
38	48
55	12
25	8
8	46
33	34
45	5
44	42
20
12	53
5	35
2	24
29	20
24	17
53	64
7	10
51	52
23	70
34	4
56	16
4	33
68	42
60	24
56	14
26	20
47	51
12	10
31	21
50	64
16
33	68
20	63
26	59
63	27
65	30
38	41
13	57
13	8
68	37
27	53
49	43
18	35
8	31
69	43
53	28
70	17
20
62	42
6	47
66	30
13	7
23	38
35	1
56	47
12	68
59	2
23	29
29	19
47	24
25	5
14	44
16	67
20	25
60	63
6	16
5	56
62	23
19
32	49
6	4
65	68
54	51
3	7
51	7
52	10
6	54
52	57
28	20
41	63
62	4
22	20
29	66
24	46
34	15
21	45
53	10
2	41
19
36	67
14	41
23	15
35	7
32	44
66	48
19	28
68	35
49	19
1	69
37	11
22	50
15	36
19	35
57	68
61	7
21	12
6	11
69	51
15
70	10
51	34
64	33
12	38
54	64
51	52
16	38
49	63
45	63
21	68
60	60
68	46
49	2
8	7
31	58
18
54	57
16	43
70	7
13	17
42	26
70	23
24	38
48	44
50	22
32	15
22	46
29	49
10	38
55	23
60	41
29	31
25	69
3	45
18
53	56
41	24
23	10
14	64
50	43
40	9
19	13
19	47
23	48
24	47
34	48
62	10
38	55
41	36
15	42
41	5
58	47
59	58
18
3	42
51	10
6	52
28	56
28	6
51	42
42	12
31	63
29	37
45	1
66	27
49	70
62	53
15	2
41	62
62	36
13	32
35	29
20
47	62
56	45
16	62
41	27
32	4
19	9
54	57
54	37
26	28
16	40
18	2
16	2
28	42
20	70
68	20
40	55
25	10
45	56
25	17
9	18
20
52	37
21	21
35	8
65	25
21	15
49	37
52	5
26	51
9	42
31	53
67	38
20	27
53	40
40	40
41	52
47	19
5	68
4	48
2	8
12	21
18
7	11
31	11
56	1
23	7
46	56
20	70
35	31
38	25
16	10
56	64
32	66
45	18
45	58
27	34
17	22
63	53
57	45
21	58
17
23	56
33	29
39	59
19	70
70	29
12	47
48	69
52	41
57	14
44	36
56	36
45	47
46	47
63	12
